epoch,class_output_accuracy,class_output_loss,loss,nutrition_output_loss,nutrition_output_mae,val_class_output_accuracy,val_class_output_loss,val_loss,val_nutrition_output_loss,val_nutrition_output_mae
0,0.05417821928858757,4.318727970123291,4.320708751678467,0.017815805971622467,0.017817335203289986,0.11770296841859818,3.8881607055664062,3.8908307552337646,0.016734711825847626,0.016729626804590225
1,0.13199999928474426,3.8336706161499023,3.8352198600769043,0.01656138338148594,0.01655980944633484,0.17239603400230408,3.6242141723632812,3.626316547393799,0.01664106361567974,0.016645073890686035
2,0.186679869890213,3.55338716506958,3.5547409057617188,0.01578233204782009,0.01578073762357235,0.22942574322223663,3.329566717147827,3.3296356201171875,0.015455293469130993,0.01546089444309473
3,0.2301650196313858,3.344006061553955,3.345531463623047,0.015134829096496105,0.01513559091836214,0.24990099668502808,3.2621941566467285,3.2656543254852295,0.015499256551265717,0.015502577647566795
4,0.27078548073768616,3.1691133975982666,3.1703593730926514,0.014604923315346241,0.014605478383600712,0.2968316972255707,3.028602361679077,3.0310192108154297,0.014745581895112991,0.014737456105649471
5,0.3027590811252594,3.02858567237854,3.0299642086029053,0.014117472805082798,0.014116481877863407,0.3004356324672699,3.018418788909912,3.019973039627075,0.014742582105100155,0.014746862463653088
6,0.3342178165912628,2.902707576751709,2.9039931297302246,0.013666749000549316,0.013665720820426941,0.3152475357055664,2.957376480102539,2.95928692817688,0.014289789833128452,0.014286761172115803
7,0.35842904448509216,2.7938437461853027,2.7954461574554443,0.01330490130931139,0.013306261040270329,0.3949702978134155,2.6273446083068848,2.6290009021759033,0.012785487808287144,0.01278684101998806
8,0.3818085789680481,2.7011709213256836,2.702345371246338,0.012953403405845165,0.012953984551131725,0.39988118410110474,2.5962769985198975,2.5992014408111572,0.012898078188300133,0.01290075946599245
9,0.40178218483924866,2.620556592941284,2.6216647624969482,0.012670127674937248,0.012670516036450863,0.4243564307689667,2.495162010192871,2.495832681655884,0.012274378910660744,0.012276283465325832
10,0.41735973954200745,2.555718183517456,2.5568912029266357,0.012405982241034508,0.01240461878478527,0.4152871370315552,2.531770706176758,2.5332963466644287,0.012694954872131348,0.0126956133171916
11,0.4345742464065552,2.485135793685913,2.4859888553619385,0.012104053981602192,0.01210252195596695,0.4631287157535553,2.3457040786743164,2.347273588180542,0.011571773327887058,0.011575517244637012
12,0.44972938299179077,2.430788993835449,2.431758403778076,0.011880150064826012,0.011878869496285915,0.48499009013175964,2.2496578693389893,2.252659559249878,0.011366857215762138,0.011375288479030132
13,0.4638019800186157,2.374444007873535,2.3750691413879395,0.011624806560575962,0.01162317767739296,0.5019009709358215,2.197173595428467,2.198967933654785,0.011034769006073475,0.0110387047752738
14,0.47155115008354187,2.3294756412506104,2.330629587173462,0.011449186131358147,0.01144927553832531,0.5013861656188965,2.184607744216919,2.186677932739258,0.010793793015182018,0.010796750895678997
15,0.48786798119544983,2.2831709384918213,2.2843706607818604,0.011209633201360703,0.01121086161583662,0.498851478099823,2.210096836090088,2.2111856937408447,0.010892054066061974,0.010892991907894611
16,0.4971749186515808,2.2370591163635254,2.2382619380950928,0.011086972430348396,0.011086279526352882,0.5015445351600647,2.193077802658081,2.1948156356811523,0.010977374389767647,0.010984630323946476
17,0.5094257593154907,2.203758478164673,2.2048568725585938,0.0108709167689085,0.010870031081140041,0.5198019742965698,2.1438302993774414,2.1461727619171143,0.01066282857209444,0.010663789696991444
18,0.5147722959518433,2.170013189315796,2.1710634231567383,0.010713653638958931,0.010714463889598846,0.5134653449058533,2.15755033493042,2.1566550731658936,0.010730497539043427,0.010729302652180195
19,0.5236039757728577,2.137155532836914,2.1382193565368652,0.010564145632088184,0.010563826188445091,0.5276435613632202,2.1035895347595215,2.1057496070861816,0.01060800813138485,0.010608474723994732
